, Alice, Bob, Charlie, David, Eve, Frank, Grace, Henry, Irene, Jack, Kate, Lily
Alice, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
Bob, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
Charlie, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
David, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
Eve, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0
Frank, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
Grace, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Henry, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Irene, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Jack, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
Kate, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
Lily, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
