, Alpha, Beta, Gamma, Delta, Epsilon, Zeta, Eta, Theta, Iota, Kappa, Lambda, Mu, Nu, Xi
Alpha, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0
Beta, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0
Gamma, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0
Delta, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0
Epsilon, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0
Zeta, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
Eta, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0
Theta, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1
Iota, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0
Kappa, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
Lambda, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0
Mu, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
Nu, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0
Xi, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0
